 time            V_out           V_in            V_c2           
 0.00000000e+00  0.00000000e+00  0.00000000e+00  4.29572571e+00 
 1.00000000e-11  1.98883194e-08  1.01434224e-07  4.29572573e+00 
 2.00000000e-11  4.41465149e-08  2.46129131e-07  4.29572576e+00 
 4.00000000e-11  9.51163246e-08  5.57615472e-07  4.29572581e+00 
 8.00000000e-11  2.03324272e-07  1.21910255e-06  4.29572592e+00 
 1.60000000e-10  4.39578788e-07  2.63465110e-06  4.29572615e+00 
 3.20000000e-10  9.93163823e-07  5.87630273e-06  4.29572671e+00 
 6.40000000e-10  2.40816557e-06  1.39483336e-05  4.29572812e+00 
 1.28000000e-09  6.37741381e-06  3.63514439e-05  4.29573209e+00 
 2.28000000e-09  1.52842498e-05  8.75467322e-05  4.29574100e+00 
 3.28000000e-09  2.71215075e-05  1.57862461e-04  4.29575284e+00 
 4.28000000e-09  4.16319952e-05  2.46671231e-04  4.29576735e+00 
 5.28000000e-09  5.87760061e-05  3.53524056e-04  4.29578449e+00 
 6.28000000e-09  7.87055788e-05  4.78089231e-04  4.29580443e+00 
 7.28000000e-09  1.01746427e-04  6.20159152e-04  4.29582747e+00 
 8.28000000e-09  1.28375933e-04  7.79596873e-04  4.29585410e+00 
 9.28000000e-09  1.59208187e-04  9.56348172e-04  4.29588494e+00 
 1.02800000e-08  1.94974839e-04  1.15039402e-03  4.29592071e+00 
 1.12800000e-08  2.36512693e-04  1.36176681e-03  4.29596225e+00 
 1.22800000e-08  2.84746949e-04  1.59050765e-03  4.29601049e+00 
 1.32800000e-08  3.40680747e-04  1.83668551e-03  4.29606643e+00 
 1.42800000e-08  4.05380313e-04  2.10035834e-03  4.29613113e+00 
 1.52800000e-08  4.79966267e-04  2.38159456e-03  4.29620573e+00 
 1.62800000e-08  5.65600371e-04  2.68043740e-03  4.29629137e+00 
 1.72800000e-08  6.63478152e-04  2.99692783e-03  4.29638926e+00 
 1.82800000e-08  7.74817121e-04  3.33107166e-03  4.29650061e+00 
 1.92800000e-08  9.00850615e-04  3.68286367e-03  4.29662665e+00 
 2.02800000e-08  1.04281723e-03  4.05225684e-03  4.29676863e+00 
 2.12800000e-08  1.20195573e-03  4.43918726e-03  4.29692779e+00 
 2.22800000e-08  1.37949564e-03  4.84354546e-03  4.29710535e+00 
 2.32800000e-08  1.57665316e-03  5.26520181e-03  4.29730252e+00 
 2.42800000e-08  1.79462266e-03  5.70397925e-03  4.29752052e+00 
 2.52800000e-08  2.03457357e-03  6.15967917e-03  4.29776049e+00 
 2.62800000e-08  2.29764286e-03  6.63205562e-03  4.29802359e+00 
 2.72800000e-08  2.58493274e-03  7.12084127e-03  4.29831091e+00 
 2.82800000e-08  2.89750406e-03  7.62572283e-03  4.29862351e+00 
 2.92800000e-08  3.23637477e-03  8.14636711e-03  4.29896241e+00 
 3.02800000e-08  3.60251422e-03  8.68239745e-03  4.29932859e+00 
 3.12800000e-08  3.99684233e-03  9.23341963e-03  4.29972296e+00 
 3.22800000e-08  4.42022469e-03  9.79899936e-03  4.30014638e+00 
 3.32800000e-08  4.87347248e-03  1.03786880e-02  4.30059968e+00 
 3.42800000e-08  5.35733836e-03  1.09720006e-02  4.30108359e+00 
 3.52800000e-08  5.87251695e-03  1.15784418e-02  4.30159882e+00 
 3.62800000e-08  6.41964148e-03  1.21974842e-02  4.30214600e+00 
 3.72800000e-08  6.99928494e-03  1.28285941e-02  4.30272570e+00 
 3.82800000e-08  7.61195734e-03  1.34712105e-02  4.30333844e+00 
 3.92800000e-08  8.25810743e-03  1.41247699e-02  4.30398465e+00 
 4.02800000e-08  8.93812062e-03  1.47886870e-02  4.30466474e+00 
 4.12800000e-08  9.65232114e-03  1.54623780e-02  4.30537901e+00 
 4.22800000e-08  1.04009705e-02  1.61452418e-02  4.30612773e+00 
 4.32800000e-08  1.11842703e-02  1.68366835e-02  4.30691111e+00 
 4.42800000e-08  1.20023608e-02  1.75360952e-02  4.30772929e+00 
 4.52800000e-08  1.28553247e-02  1.82428796e-02  4.30858234e+00 
 4.62800000e-08  1.37431856e-02  1.89564306e-02  4.30947029e+00 
 4.72800000e-08  1.46659121e-02  1.96761567e-02  4.31039311e+00 
 4.82800000e-08  1.56234173e-02  2.04014616e-02  4.31135071e+00 
 4.92800000e-08  1.66155626e-02  2.11317669e-02  4.31234296e+00 
 5.02800000e-08  1.76421575e-02  2.18664938e-02  4.31336966e+00 
