 time            V_AC           
 6.40030120e-05  1.20691197e+00 
 6.40130120e-05  1.19731812e+00 
 6.40230120e-05  1.18767707e+00 
 6.40330120e-05  1.17798920e+00 
 6.40430120e-05  1.16825490e+00 
 6.40530120e-05  1.15847456e+00 
 6.40630120e-05  1.14864858e+00 
 6.40730120e-05  1.13877734e+00 
 6.40830120e-05  1.12886124e+00 
 6.40930120e-05  1.11890069e+00 
 6.41030120e-05  1.10889607e+00 
 6.41130120e-05  1.09884779e+00 
 6.41230120e-05  1.08875625e+00 
 6.41330120e-05  1.07862186e+00 
 6.41430120e-05  1.06844502e+00 
 6.41530120e-05  1.05822613e+00 
 6.41630120e-05  1.04796561e+00 
 6.41730120e-05  1.03766387e+00 
 6.41830120e-05  1.02732132e+00 
 6.41930120e-05  1.01693836e+00 
 6.42030120e-05  1.00651543e+00 
 6.42130120e-05  9.96052920e-01 
 6.42230120e-05  9.85551265e-01 
 6.42330120e-05  9.75010879e-01 
 6.42430120e-05  9.64432183e-01 
 6.42530120e-05  9.53815599e-01 
 6.42630120e-05  9.43161552e-01 
 6.42730120e-05  9.32470465e-01 
 6.42830120e-05  9.21742765e-01 
 6.42930120e-05  9.10978880e-01 
 6.43030120e-05  9.00179239e-01 
 6.43130120e-05  8.89344273e-01 
 6.43230120e-05  8.78474413e-01 
 6.43330120e-05  8.67570093e-01 
 6.43430120e-05  8.56631747e-01 
 6.43530120e-05  8.45659811e-01 
 6.43630120e-05  8.34654722e-01 
 6.43730120e-05  8.23616917e-01 
 6.43830120e-05  8.12546837e-01 
 6.43930120e-05  8.01444922e-01 
 6.44030120e-05  7.90311614e-01 
 6.44130120e-05  7.79147356e-01 
 6.44230120e-05  7.67952593e-01 
 6.44330120e-05  7.56727769e-01 
 6.44430120e-05  7.45473331e-01 
 6.44530120e-05  7.34189727e-01 
 6.44630120e-05  7.22877406e-01 
 6.44730120e-05  7.11536817e-01 
 6.44830120e-05  7.00168411e-01 
 6.44930120e-05  6.88772640e-01 
 6.45030120e-05  6.77349957e-01 
 6.45130120e-05  6.65900816e-01 
 6.45230120e-05  6.54425671e-01 
 6.45330120e-05  6.42924980e-01 
 6.45430120e-05  6.31399198e-01 
 6.45530120e-05  6.19848783e-01 
